company,estimated_revenue_eur_million,city,sectors_active,website
BEUMER GROUP,920,Beckum,Business Services,http://www.beumergroup.de
BEURER,284,Ulm,"Industrial, Electric & Electronic Machinery",http://www.beurer.de
BEV BAYERISCHE ENERGIEVERSORGUNGSGESELLSCHAFT,298,Muenchen,Utilities,http://www.bev-energie.de
BFL LEASING,339,Eschborn,Business Services,http://www.bfl-leasing.de
BUNDES-GESELLSCHAFT FUER ENDLAGERUNG (BGE),381,Peine,Waste Management & Treatment,http://www.bge.de
BGH EDELSTAHLWERKE,591,Freital,Metals & Metal Products,http://www.bgh.de
BG KLINIKEN - KLINIKVERBUND DER GESETZLICHEN UNFALLVERSICHERUNG G,1578,Berlin,"Public Administration, Education, Health Social Services",http://www.bg-kliniken.de
BETEILIGUNGSHOLDING HANAU,370,Hanau,Property Services,http://www.bhg-hanau.de
BHS CORRUGATED MASCHINEN- UND ANLAGENBAU,433,Weiherhammer,,http://www.bhs-corrugated.de
BHS TABLETOP,123,Selb,"Leather, Stone, Clay & Glass products",http://www.bhs-tabletop.de
BEHR-HELLA THERMOCONTROL,522,Stuttgart,Transport Manufacturing,http://www.bhtc.com
BICKHARDT BAU,329,Kirchheim,Construction,http://www.bickhardt-bau.de
BIESTERFELD,1260,Hamburg,Business Services,http://www.biesterfeld.com
BIESTERFELD PLASTIC,287,Hamburg,"Chemicals, Petroleum, Rubber & Plastic",http://www.biesterfeld-plastic.com
BIG DUTCHMAN,1015,Vechta,Business Services,http://www.bigdutchman.de
BIGX-TRA TOURISTIK,383,Muenchen,"Travel, Personal & Leisure",http://www.bigxtra-reise.de
BIJOU BRIGITTE MODISCHE ACCESSOIRES,339,Hamburg,Miscellaneous Manufacturing,http://www.bijou-brigitte.com
BILFINGER,4368,Mannheim,Construction,http://www.bilfinger.com
BILSTEIN,506,Hagen,Metals & Metal Products,http://www.bilstein-kaltband.de
BIONORICA,358,Neumarkt,"Chemicals, Petroleum, Rubber & Plastic",http://www.bionorica.de
BIONTECH,142,Mainz,Biotechnology and Life Sciences,http://www.biontech.de
BIOTEST,432,Dreieich,"Chemicals, Petroleum, Rubber & Plastic",http://www.biotest.de
BIOTRONIK,806,Berlin,"Industrial, Electric & Electronic Machinery",http://www.biotronik.de
BIRKENSTOCK,683,Linz,Business Services,http://www.birkenstock.com
TH. SIMON VERWALTUNGS,1433,Bitburg,Business Services,http://www.bitburger-braugruppe.de
BITMARCK HOLDING,320,Essen,Business Services,http://www.bitmarck.de
BITZER,767,Sindelfingen,Business Services,http://www.bitzer.de
BIZERBA,708,Balingen,"Industrial, Electric & Electronic Machinery",http://www.bizerba.de
BLEKER-GRUPPE,308,Borken,Property Services,http://www.bleker.org
BREMER LERHAUS-GELLSCHAFT - VON 1877,1194,Bremen,"Transport, Freight & Storage",http://www.blg-logistics.com
EUGEN BLOCK HOLDING,316,Hamburg,Business Services,http://www.block-gruppe.de
BLUE CAP,188,Munchen,"Banking, Insurance & Financial Services",http://www.blue-cap.de
BRISTOL-MYERS SQUIBB AA,1260,Muenchen,"Chemicals, Petroleum, Rubber & Plastic",http://www.b-ms.de
BMTS TECHNOLOGY,424,Stuttgart,"Industrial, Electric & Electronic Machinery",http://www.bmts-technology.com
FORTUNA FAMILIEN,1105,Berlin,Wholesale,http://www.bmvmineraloel.de
BMW BANK,4723,Muenchen,"Banking, Insurance & Financial Services",http://www.bmwbank.de
BMW,105033,Muenchen,Automotive,http://www.bmwgroup.com
